UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN
133960,1,29,3,4,R,1025,R,461,R,564,R,3,R,2,R,1,R,11,R,3,R,8,R,111,R,46,R,65,R,361,R,146,R,215,R,2,R,1,R,1,R,435,R,208,R,227,R,24,R,14,R,10,R,58,R,32,R,26,R,20,R,9,R,11,R,0,A,,R,0,R,1025
133960,2,99,3,1,R,1025,R,461,R,564,R,3,R,2,R,1,R,11,R,3,R,8,R,111,R,46,R,65,R,361,R,146,R,215,R,2,R,1,R,1,R,435,R,208,R,227,R,24,R,14,R,10,R,58,R,32,R,26,R,20,R,9,R,11,R,0,A,,R,0,R,1025
133960,3,99,3,1,R,1012,R,453,R,559,R,3,R,2,R,1,R,11,R,3,R,8,R,110,R,45,R,65,R,359,R,145,R,214,R,2,R,1,R,1,R,426,R,202,R,224,R,24,R,14,R,10,R,57,R,32,R,25,R,20,R,9,R,11,A,,A,,A,,A,
133960,4,99,3,1,R,210,R,97,R,113,R,2,R,1,R,1,R,2,R,1,R,1,R,21,R,9,R,12,R,66,R,25,R,41,R,0,R,0,R,0,R,93,R,47,R,46,R,4,R,2,R,2,R,15,R,11,R,4,R,7,R,1,R,6,A,,A,,A,,A,
133960,5,99,3,1,R,802,R,356,R,446,R,1,R,1,R,0,R,9,R,2,R,7,R,89,R,36,R,53,R,293,R,120,R,173,R,2,R,1,R,1,R,333,R,155,R,178,R,20,R,12,R,8,R,42,R,21,R,21,R,13,R,8,R,5,A,,A,,A,,A,
133960,11,99,3,1,R,13,R,8,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,9,R,6,R,3,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,A,,A,,A,,A,
133960,19,99,3,1,R,127,R,59,R,68,R,0,R,0,R,0,R,0,R,0,R,0,R,14,R,5,R,9,R,44,R,22,R,22,R,0,R,0,R,0,R,59,R,29,R,30,R,2,R,1,R,1,R,7,R,1,R,6,R,1,R,1,R,0,A,,A,,A,,A,
133960,20,99,3,1,R,675,R,297,R,378,R,1,R,1,R,0,R,9,R,2,R,7,R,75,R,31,R,44,R,249,R,98,R,151,R,2,R,1,R,1,R,274,R,126,R,148,R,18,R,11,R,7,R,35,R,20,R,15,R,12,R,7,R,5,A,,A,,A,,A,
133960,21,14,1,4,R,461,R,250,R,211,R,3,R,2,R,1,R,2,R,1,R,1,R,41,R,23,R,18,R,139,R,61,R,78,R,1,R,1,R,0,R,222,R,129,R,93,R,15,R,10,R,5,R,29,R,20,R,9,R,9,R,3,R,6,A,,A,,A,,A,
133960,22,8,1,1,R,461,R,250,R,211,R,3,R,2,R,1,R,2,R,1,R,1,R,41,R,23,R,18,R,139,R,61,R,78,R,1,R,1,R,0,R,222,R,129,R,93,R,15,R,10,R,5,R,29,R,20,R,9,R,9,R,3,R,6,A,,A,,A,,A,
